,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,CREDIT_CARD,O,6036994285533224,"I need to order a new EKG machine. The invoice should be sent to our building number, 841 and make sure they charge it to the company card (6036994285533224).",,
1,FN,CREDIT_CARD,O,6421787706555142,"Hello, your transaction with Harris - Dicki associated with 6421787706555142 was successful. Welcome to our extended family.",,
2,FN,CREDIT_CARD,O,3908656268910792,"Hello, Lambert! A single step today might lead to significant career shifts tomorrow. Gaining insight through a session with us might just be that step. Our counselor usually asks for the 3908656268910792 at the end of the registration process.",,
3,FN,CREDIT_CARD,O,4318300034007969,"Hello Nickolas, we have noticed that your educational tool subscription is due for payment. Please, process payment through discover number 4318300034007969",,
4,FN,CREDIT_CARD,O,8722141716190634,"Hello Dr., your Existential Therapy session is at 7. The session cost is New Leu770653.02 payable using visa card number 8722141716190634.",,
5,FN,CREDIT_CARD,O,8188666422683344,Could you supply the mindfulness-based therapy session NJ34CVA via mail? I've paid through 8188666422683344 issued by mastercard.,,
6,FN,CREDIT_CARD,O,4224063597815238,"A payment of Djibouti Franc 277.699k for server maintenance was made from your credit card number: 4224063597815238. If this transaction was not approved by you, please get back to us.",,
7,FN,CREDIT_CARD,O,2265755044718964,Reminder: Your telemed appointment with Dr. Elliott via https://squeaky-reservation.name is scheduled for 12/15 at 12 o'clock. Be prepared with your 2265755044718964 for payment.,,
8,FN,CREDIT_CARD,O,4815004374551233,"It's urgent! I need to change the credit card for my payment details. Here is my new information 4815004374551233, card issuer: visa, CVV 741.",,
9,FN,CREDIT_CARD,O,5639428262326956,Your credit card issuer american_express has issued a new card number 5639428262326956 for your account 19753534. Please update your profile on our ed-tech platform https://hefty-contribution.com/ with the same as soon as possible.,,
10,FN,CREDIT_CARD,O,7626009647604319,There seems to be a discrepancy with the billing information related to recent purchases made for the occupational therapy department. Could you verify the credit card number 7626009647604319 issued by jcb and resolve it?,,
11,FN,CREDIT_CARD,O,8110512623102068,"We've established remedial classes for students finding difficulties in Graphic Design. Sim, can we process payment using your card 8110512623102068?",,
12,FN,CREDIT_CARD,O,4605786236210423,"Regarding private schools in your 95847-3252, they have named you as a patron. Please confirm via Maverick_Kunze26@hotmail.com and provide your 4605786236210423 for the annual subscription.",,
13,FN,CREDIT_CARD,O,9753180619457036,"For primary care appointments past 9th November, use my discover card 9753180619457036 for payment.",,
14,FN,CREDIT_CARD,O,5945561259748256,Thank you for your payment for the marriage counseling service. The transaction of Seychelles Rupee has been made successfully on your credit card number 5945561259748256.,,
15,FN,CREDIT_CARD,O,4687482842729694,"Sorry, Karen! Payment issue with card 4687482842729694, issuer: maestro. Kindly rectify.",,
16,FN,CREDIT_CARD,O,9999151019126746,"New emergency staff schedule available, send to 07889923. Access with 9999151019126746.",,
17,FN,CREDIT_CARD,O,3900822474054654,"For the upcoming training session, Louvenia paid with her credit card issued by discover. The card number is 3900822474054654 and the total amount is ƒ0.0003b.",,
18,FN,CREDIT_CARD,O,7477305048503038,"In order to proceed with the arbitration, validate the payment made of Pakistan Rupee through the provided credit card number 7477305048503038, having the CVV 636.",,
19,FN,CREDIT_CARD,O,7159859596293464,"Today, Female, has shown magnificent improvement in her therapy sessions. However, we have to charge extra for the additional apparatus used. The total cost is £419k which will be automatically charged to her card 7159859596293464.",,
20,FN,CREDIT_CARD,O,5993122613355808,"Team, this week we need to focus on our project's financial aspect. For any payments or transactions related to this project, please use the following credit card details: 
Issuer: american_express
Card Number: 5993122613355808
CVV: 781.",,
21,FN,CREDIT_CARD,O,8146454906004949,"Dear Harper, The payment for your health psychology session, cost of PhpCordoba Oro, has been processed through 8146454906004949. Please keep this for your records.",,
22,FN,CREDIT_CARD,O,5484021075124431,"We're hosting an oncology genetics conference pertinent to patients born around 22nd December. Access on a device with Mozilla/5.0 (X11; Linux i686 AppleWebKit/537.2.0 (KHTML, like Gecko) Chrome/16.0.805.0 Safari/537.2.0. Registration fee can be processed via american_express with card 5484021075124431, CVV 269.",,
23,FN,CREDIT_CARD,O,1884287611296105,"For the purchase of the new equipment, use our credit card 1884287611296105 for the payment in Belize Dollar.",,
24,FN,CREDIT_CARD,O,7545941043284555,"Having paid for your mindfulness therapy sessions via your credit card (7545941043284555), your receipt will be emailed to Dawson_Hyatt63@yahoo.com.",,
