,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,DATE_TIME,O,6/22,"Dear Mrs. Oberbrunner, Your scheduled counselling session with career expert has been set for 6/22. Looking forward to see you.",,
1,FN,DATE_TIME,O,6/69,"Hi, this is Maximillian Jamie Brekke. I was born 6/69 and I live at Annabell Fort 8602 Suite 459, Valais. I want to apply for a therapy. My contact is Franz.Emmerich47@yahoo.com",,
2,FN,DATE_TIME,O,3rd,"Hello Miss Bergstrom-Schuppe, I would like to schedule an appointment for discussing my concerns related to my personality disorder. Can we arrange this for 3rd December?",,
3,FN,DATE_TIME,O,5/82,"Tiffany, Goldner - Runte needs confirmation regarding your attendance for a meeting on 5/82. Call number 7927178637037986 for details.",,
4,FN,DATE_TIME,O,8/07,"Hello Webster, we are reaching out to you about your upcoming treatment session on 8/07. Please confirm your availability.",,
5,FN,DATE_TIME,O,9th,Classroom safety is our priority. All classrooms will get new CCTV cameras. Installation starts from Room 9266 on 9th January.,,
6,FN,DATE_TIME,O,January,Classroom safety is our priority. All classrooms will get new CCTV cameras. Installation starts from Room 9266 on 9th January.,,
7,FN,DATE_TIME,O,19T07:44:21.190Z,Observe ISP records for Tatum Reagan Nitzsche (DOB: 1970-08-19T07:44:21.190Z) for potential match with IP address: 302a:c460:62a0:0c58:599a:eefc:491b:b5ba,,
8,FN,DATE_TIME,O,10,Access attempt was noticed from a different IP 5f34:f7ee:8e9a:d0ec:ee70:e31f:c8e8:a3de at 10. This account belongs to account number 24508907 registered in the city Irving.,,
9,FN,DATE_TIME,O,6:39am,A login was detected on account number 56339310 at 6:39am. The IP Address registered was 7.254.255.146. Kindly acknowledge.,,
10,FN,DATE_TIME,O,7/17,"Recent purchase notification: Miss Wintheiser, $535377 were debited from your account 88721040 on 7/17 for medical purchase.",,
11,FN,DATE_TIME,O,7,"Hello Dr., your Existential Therapy session is at 7. The session cost is New Leu770653.02 payable using visa card number 8722141716190634.",,
12,FN,DATE_TIME,O,4th,"Dear Ms. West, We thank you for choosing our services for your counseling needs. Please refer to the appointment details below. Date: 4th December & Time: 10:21 PM. Use the link: https://remorseful-suv.net/ to join the session. In case of issues, mail at Micah.Toy@yahoo.com.",,
13,FN,DATE_TIME,O,December,"Dear Ms. West, We thank you for choosing our services for your counseling needs. Please refer to the appointment details below. Date: 4th December & Time: 10:21 PM. Use the link: https://remorseful-suv.net/ to join the session. In case of issues, mail at Micah.Toy@yahoo.com.",,
14,FN,DATE_TIME,O,16,"We've a scheduled conference call with Jordan, our Legacy Division Analyst, regarding revisions in the Marketing-related curriculum. Please ensure your availability at 16.",,
15,FN,DATE_TIME,O,11/60,"""Dear Austin, we received a recent payment of ₨0.5333m towards Corbin's tuition fee. The payment was made on 11/60. Thank you.""",,
16,FN,DATE_TIME,O,22:31,Hello Adolfo! Your dental care appointment at 605 S Union Street is confirmed for 22:31. Payment has been charged to the card ending with 4047227348038276.,,
17,FN,DATE_TIME,O,6th,Patient ID: 756.2041.9266. 6th February. Patient presented with various complaints related to respiratory discomfort. Changes in blood pressure and temp. All were tracked using technology with mac address: b8:d6:af:c1:f0:42,,
18,FN,DATE_TIME,O,12/15,Reminder: Your telemed appointment with Dr. Elliott via https://squeaky-reservation.name is scheduled for 12/15 at 12 o'clock. Be prepared with your 2265755044718964 for payment.,,
19,FN,DATE_TIME,O,10/26,Your credit card payment of kr997855 for the Holistic Education event at 14068-9562 has been successfully processed. We'll await you on 10/26.,,
20,FN,DATE_TIME,O,3/92,"Your next appointment for back rehab is on 3/92. Remember to bring your balance for the Rand payment. Confirmed the correct IBAN is LU420991389667C35709, BIC is LYGGCGX1XXX. Any changes, let us know!",,
