,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,DATE_TIME,0544,"""To guarantee the fairness of our assessments we monitor data points such as FJD and 257k utilized for transactions. Do note that revealing your a4O0ARjeKE9G or 0544 to third parties breaks our security policy.""",,
1,FP,O,DATE_TIME,weekly,"Our records mention that you have recently changed your Cronin Course and Suite 737. As we send weekly alerts and therapy materials to your location, we ask you to confirm this change.",,
2,FP,O,DATE_TIME,32,"Collecting data from Bigender aged 32. Works as Customer Factors Orchestrator located at East Jadatown, Molise. Email: Vinnie_Grant@gmail.com for details.",,
3,FP,O,DATE_TIME,68,"Confirmed career counseling appointment for 68 years old, Male in Martinique. Details sent to Willow_White@hotmail.com.",,
4,FP,O,DATE_TIME,79281,"Students, please be informed that new 79281-1741-compliant changes have been made to our Male school uniform policy. We expect your absolute adherence to ensure a disciplined environment for Metrics studies.",,
5,FP,O,DATE_TIME,1741,"Students, please be informed that new 79281-1741-compliant changes have been made to our Male school uniform policy. We expect your absolute adherence to ensure a disciplined environment for Metrics studies.",,
6,FP,O,DATE_TIME,1,"I have observed a surge in cases in the Northwest region, particularly affecting the Female gender. This requires immediate attention. I have also noticed a correlation with 1 years old",,
7,FP,O,DATE_TIME,today,"Looking for Dr. Davon, our records from July 15, 1930 show a scheduled chest X-ray due today. Could you confirm if patient from 76799 has already arrived?",,
8,FP,O,DATE_TIME,56,We've taken note of your complaint regarding the doctor. Your details such as your minor daughter's 56 years old and vehicle VIN DNXP6ED5R2N028028 registered to the hospital have been securely noted and will remain confidential throughout this process.,,
9,FP,O,DATE_TIME,today,"Hello, Lambert! A single step today might lead to significant career shifts tomorrow. Gaining insight through a session with us might just be that step. Our counselor usually asks for the 3908656268910792 at the end of the registration process.",,
10,FP,O,DATE_TIME,tomorrow,"Hello, Lambert! A single step today might lead to significant career shifts tomorrow. Gaining insight through a session with us might just be that step. Our counselor usually asks for the 3908656268910792 at the end of the registration process.",,
11,FP,O,DATE_TIME,past,"Web team, collaborate with Kaylah81 to analyse the disease trend in Swift Parkway over the past month.",,
12,FP,O,DATE_TIME,54,"Parents/Carers, sizing event for 54 years and under. Send your child's 204cm and book your slot.",,
13,FP,O,DATE_TIME,61696816,Use ﷼853.900k as a deposit for reservation. To be paid at 61696816.,,
14,FP,O,DATE_TIME,daily,"Record your daily health progress on our portal via https://winged-method.com, login with your unique 75611599693 and 4117940219039298.",,
15,FP,O,DATE_TIME,36,Notify on 94-047934-593644-6 for physical examination of 36 years old marathon runner.,,
16,FP,O,DATE_TIME,93985,"Emergency response required for Einar. She fell and might have fractured her arm. She is located at [-45.6952,136.1611]. The EMTs at the nearby 93985 will reach soon.",,
17,FP,O,DATE_TIME,semester,"My financial situation had been a little tough this semester. The transaction to the university account had been a fuss. Eventually, I had to use the transaction method of Ethereum 0xb9292929e4b9e43d9abae9673bd45ed25dfe8bf5 for the first time under Orie's guidance.",,
18,FP,O,DATE_TIME,today,"""Gertrude, at exactly 10 PM today, we detected an unauthorized device with MAC address fe:52:c2:2d:7c:2b trying to connect to the school's network. Can you check?""",,
19,FP,O,DATE_TIME,57993,Unlawful actions occurring at the abandoned building 57993 on Marge Road. Please review the situation.,,
20,FP,O,DATE_TIME,11429,"Important: Requesting emergency fund transfer via BG23QQKK04008495P53G6N, critical patient in the 11429 ICU.",,
21,FP,O,DATE_TIME,tomorrow,Just reminding you about our genetic counseling session for Male tomorrow. The session will be held at the genetic counseling department Suite 588. The safety measures due to the current pandemic are taken care.,,
22,FP,O,DATE_TIME,2405209516493234,"Your recently purchased social psychology courses with the visa ending in 2405209516493234. If there are any topics you'd like us to elaborate further in our course materials, we'd appreciate your inputs.",,
23,FP,O,DATE_TIME,today,"Dear Gleason, your Mathematics Education subscription was billed today for the amount ؋640,798.39. Contact Horace34@yahoo.com if you have any queries.",,
24,FP,O,DATE_TIME,annual,The annual parents meeting is scheduled for 25th March at our Lower Saxony center.,,
25,FP,O,DATE_TIME,quarter,"For this quarter, our primary objective is focusing on programs that can help validate credentials swiftly, for instance, validating data such as EEKEEE4UUALV69662, eca7:4bfa:a31d:413d:dddf:d42e:6abd:6a5c, or even 3bArNe1zVwSkY685qvRBWL6ZJiT9r6Md.",,
26,FP,O,DATE_TIME,3bArNe1zVwSkY685qvRBWL6ZJiT9r6Md,"For this quarter, our primary objective is focusing on programs that can help validate credentials swiftly, for instance, validating data such as EEKEEE4UUALV69662, eca7:4bfa:a31d:413d:dddf:d42e:6abd:6a5c, or even 3bArNe1zVwSkY685qvRBWL6ZJiT9r6Md.",,
27,FP,O,DATE_TIME,79,Can individuals around the age of 79 years join your life skills program? I reckon these skills can be useful to fortify the life journey of my Transexual friend.,,
28,FP,O,DATE_TIME,74,"We're seeing new cases in the [-1.2811,142.7512] area. The individuals affected are primarily of the Male sex, aged around 74 years. If possible, kindly organise a field visit to assess.",,
29,FP,O,DATE_TIME,monthly,"Physical activity is essential for our wellbeing. As part of our wellness program, all Agents are encouraged to participate in our monthly health challenges. For added security, please use 5FWEoqZCDHN3 to access the health portal.",,
30,FP,O,DATE_TIME,99,Consultant Skyler highly recommends cognitive behavioral therapy for our 99 years old Male client.,,
31,FP,O,DATE_TIME,1345,"Your state of residence (Rhode Island,Norfolk) and your physical address (E Broadway Street, 1345 Suite 953, 07421) are personal details protected under the data privacy policy. We won't share these without explicit consent.",,
32,FP,O,DATE_TIME,4047227348038276,Hello Adolfo! Your dental care appointment at 605 S Union Street is confirmed for 22:31. Payment has been charged to the card ending with 4047227348038276.,,
33,FP,O,DATE_TIME,today,I am working from Apt. 625 today and will need access to the pediatric database. My IP address is 246.165.69.224.,,
34,FP,O,DATE_TIME,53,We need imaging for the 53 years old year old patient. Room is ready with the imaging machine having the fd:80:e8:8c:0c:0c address.,,
35,FP,O,DATE_TIME,14068,Your credit card payment of kr997855 for the Holistic Education event at 14068-9562 has been successfully processed. We'll await you on 10/26.,,
36,FP,O,DATE_TIME,9562,Your credit card payment of kr997855 for the Holistic Education event at 14068-9562 has been successfully processed. We'll await you on 10/26.,,
37,FP,O,DATE_TIME,Version/5.1.10,"Request to Female patients: We need your feedback to improve our services. Connect your account 0356217325044918 using your Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/533.1.2 (KHTML, like Gecko) Version/5.1.10 Safari/533.1.2 to complete the feedback form. Thank you for your cooperation.",,
38,FP,O,DATE_TIME,40,A Man aged 40 years was detained from Barn Close and has not been given access to legal representation as of 14 o'clock on 18/02/2016. We need immediate intervention.,,
39,FP,O,DATE_TIME,7288097197961180,"We need the complete medical history of patient 7288097197961180. Her physician, Santa Terry required the details.",,
40,FP,O,DATE_TIME,Version/5.1.10,"The downloadable materials for our therapy sessions could be found at https://fine-scaffold.org. Please use the user agent Mozilla/5.0 (Windows; U; Windows NT 5.0)AppleWebKit/533.2.2 (KHTML, like Gecko) Version/5.1.10 Safari/533.2.2 when accessing.",,
41,FP,O,DATE_TIME,2685013911011443,"With my expertise in 2685013911011443, I’m committed to providing top-notch medical care to my patients. My contact details are as follows: User Agent - Opera/14.77 (Macintosh; Intel Mac OS X 10.9.2 U; KO Presto/2.9.160 Version/10.00). Payment can be made through SHP, Swiss Franc or ман.",,
42,FP,O,DATE_TIME,81372,"Public consultation in Suite 443, posters to be delivered via 81372.",,
