,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,ORGANIZATION,O,Ullrich,Holistic Education has started embracing digital currencies. Ullrich - Daniel now accepts Barbados Dollar for payments.,,
1,FN,ORGANIZATION,O,Daniel,Holistic Education has started embracing digital currencies. Ullrich - Daniel now accepts Barbados Dollar for payments.,,
2,FN,ORGANIZATION,O,Hermann,"""Hermann, Ankunding and Mann's mentorship program will start on 17/11/1932. We've paired you, as a Assistant with a Cis mentee interested in administrative jobs. Feel free to reach out for more info.""",,
3,FN,ORGANIZATION,O,Ankunding,"""Hermann, Ankunding and Mann's mentorship program will start on 17/11/1932. We've paired you, as a Assistant with a Cis mentee interested in administrative jobs. Feel free to reach out for more info.""",,
4,FN,ORGANIZATION,O,Ebert,"""Chase, our records show that the ethereum payment for the astronomy competition entry fee from 0xa2fabfcda981b2b5fdf8aaead79f84876b7f2bdf is not yet confirmed. Kindly settle it at your earliest convenience. - Ebert and Sons""",,
5,FN,ORGANIZATION,O,Sons,"""Chase, our records show that the ethereum payment for the astronomy competition entry fee from 0xa2fabfcda981b2b5fdf8aaead79f84876b7f2bdf is not yet confirmed. Kindly settle it at your earliest convenience. - Ebert and Sons""",,
6,FN,ORGANIZATION,O,Koch,"Next meeting of Infrastructure literature club at Koch, Gerlach and Herzog is scheduled on 1974-09-15T16:06:47.770Z. Please confirm your attendance at Keshawn48@gmail.com.",,
7,FN,ORGANIZATION,O,Gerlach,"Next meeting of Infrastructure literature club at Koch, Gerlach and Herzog is scheduled on 1974-09-15T16:06:47.770Z. Please confirm your attendance at Keshawn48@gmail.com.",,
8,FN,ORGANIZATION,O,Harris,"Hello, your transaction with Harris - Dicki associated with 6421787706555142 was successful. Welcome to our extended family.",,
9,FN,ORGANIZATION,O,Dicki,"Hello, your transaction with Harris - Dicki associated with 6421787706555142 was successful. Welcome to our extended family.",,
10,FN,ORGANIZATION,O,Goldner,"Tiffany, Goldner - Runte needs confirmation regarding your attendance for a meeting on 5/82. Call number 7927178637037986 for details.",,
11,FN,ORGANIZATION,O,Runte,"Tiffany, Goldner - Runte needs confirmation regarding your attendance for a meeting on 5/82. Call number 7927178637037986 for details.",,
12,FN,ORGANIZATION,O,Bergnaum,"Hey Rubie, I chanced upon a Internal Brand Administrator role at Bergnaum Group. Thought you might like to explore considering it aligns well with your background in Accounts: https://swift-fire.com/.",,
13,FN,ORGANIZATION,O,Group,"Hey Rubie, I chanced upon a Internal Brand Administrator role at Bergnaum Group. Thought you might like to explore considering it aligns well with your background in Accounts: https://swift-fire.com/.",,
14,FN,ORGANIZATION,O,Yost,"I'm Dr. Kennedy Legros, the Customer Group Agent. We have a $70586.40 invoice for Yost and Sons. Would you reach me at 097 8830581 or Garnet70@hotmail.com?",,
15,FN,ORGANIZATION,O,Sons,"I'm Dr. Kennedy Legros, the Customer Group Agent. We have a $70586.40 invoice for Yost and Sons. Would you reach me at 097 8830581 or Garnet70@hotmail.com?",,
16,FN,ORGANIZATION,O,Ledner,"""Corporate Interactions Consultant at Ledner Inc requested zoning ordinance docs for property at [40.2392,57.6385]. Send to Pascale.Stracke@yahoo.com.""",,
17,FN,ORGANIZATION,O,McClure,Payment was processed from IP address 235.116.156.101 at 4 o'clock. The payment included a strange note referring to McClure LLC,,
18,FN,ORGANIZATION,O,LLC,Payment was processed from IP address 235.116.156.101 at 4 o'clock. The payment included a strange note referring to McClure LLC,,
19,FN,ORGANIZATION,O,Fritsch,Fritsch Group is offering a Free Legal Education webinar on Schleswig-Holstein Property rights laws. Join us on 1960-08-04T13:51:34.915Z. Please confirm your interest at Jammie_Flatley@yahoo.com.,,
20,FN,ORGANIZATION,O,Group,Fritsch Group is offering a Free Legal Education webinar on Schleswig-Holstein Property rights laws. Join us on 1960-08-04T13:51:34.915Z. Please confirm your interest at Jammie_Flatley@yahoo.com.,,
21,FN,ORGANIZATION,O,Treutel,"Hello Bernie, we commend you for taking an active interest in your health. Your request for health insurance at Paucek, Treutel and Treutel is successfully submitted. You may track it at our website https://proud-romance.info.",,
22,FN,ORGANIZATION,O,Treutel,"Hello Bernie, we commend you for taking an active interest in your health. Your request for health insurance at Paucek, Treutel and Treutel is successfully submitted. You may track it at our website https://proud-romance.info.",,
23,FN,ORGANIZATION,O,Bartoletti,Logs located at IP addresses 5.121.247.240 and 0dca:b8f7:6fdd:2bae:2acb:184d:ae9c:5b2c corroborate Ms. Tremblay's claim of being at home in Harrishaven during the operation against Bartoletti - Gottlieb.,,
