,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,PERSON,FJD,"""To guarantee the fairness of our assessments we monitor data points such as FJD and 257k utilized for transactions. Do note that revealing your a4O0ARjeKE9G or 0544 to third parties breaks our security policy.""",,
1,FP,O,PERSON,"211,884.23","A report from our Planner revealed missed payments of property tax for 35663729. Please, don't ignore this and make a payment of 211,884.23 KM.",,
2,FP,O,PERSON,KM,"A report from our Planner revealed missed payments of property tax for 35663729. Please, don't ignore this and make a payment of 211,884.23 KM.",,
3,FP,O,PERSON,Mozilla/5.0,We’ve had breakthrough in diagnostic technology as per Consultant Nico Rath. The details can be accessed from https://vivid-processing.name. Please verify the system with the Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/3.1; .NET CLR 3.7.26850.4).,,
4,FP,O,PERSON,Eleanore,"Dear team, a Male to female trans woman artist, username: Eleanore.Schimmel52 from 61.211.197.137 signed up for our digital arts workshop happening next month. Please make all necessary arrangements.",,
5,FP,O,PERSON,Mozilla/5.0,Patient Demarcus Rau with a secondary address of Apt. 489 and Post Code 85119-2571. Their connection details: User Agent: Mozilla/5.0 (Windows NT 5.0; rv:14.0) Gecko/20100101 Firefox/14.0.8 and phone IMEI: 64-818844-223828-4,,
6,FP,O,PERSON,Ms,"I spotted a potential patent infringement while auditing the web, and it's under this IP address: 21.43.7.22. I trust to hear your thoughts on how to react, Ms..",,
7,FP,O,PERSON,Yasmine_Toy,"Dear Yasmine_Toy, due technical issue, your 10 AM telemedicine appointment has been rescheduled.",,
8,FP,O,PERSON,qpZRCkD7NKtt,"We're carrying out system updates. Kindly update your qpZRCkD7NKtt at the earliest, Amya.",,
9,FP,O,PERSON,Dear,"Dear Destany, what is the ratio of special education teachers to students in Buckinghamshire?",,
10,FP,O,PERSON,Dear,"Dear Barrows, participation in the clinical trials necessitates a medical examination. Could you please visit us at the below address: Building 3784, Forest Road, Suite Apt. 355, 35833?",,
11,FP,O,PERSON,Mozilla/5.0,"Parents, to view your child's progress, you can log into our e-learning platform. Use Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7)  AppleWebKit/537.2.2 (KHTML, like Gecko) Chrome/26.0.874.0 Safari/537.2.2 to avoid compatibility issues. Queries? Contact us by the 54-164510-807920-1 listed on our official site.",,
12,FP,O,PERSON,CI_SCcGr0coN.,"Hello, please send an email to the Parent-Teacher association from your allocated parent email (Checking Account) using the password CI_SCcGr0coN.",,
13,FP,O,PERSON,Cis,Notice: I am Abbie 's nurse and I am required to update Cis woman's medication. We picked up from our database that 75690729788 lives in ZIP Code 86614. Please confirm if there are any dietary restrictions.,,
14,FP,O,PERSON,Sarah,"Requesting assistance in managing the IP related to our Operations projects. Willa Fahey, kindly use Sarah.Schuster55 credentials to log in and oversee.",,
