,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,PHONE_NUMBER,O,64,Patient Demarcus Rau with a secondary address of Apt. 489 and Post Code 85119-2571. Their connection details: User Agent: Mozilla/5.0 (Windows NT 5.0; rv:14.0) Gecko/20100101 Firefox/14.0.8 and phone IMEI: 64-818844-223828-4,,
1,FN,PHONE_NUMBER,O,818844,Patient Demarcus Rau with a secondary address of Apt. 489 and Post Code 85119-2571. Their connection details: User Agent: Mozilla/5.0 (Windows NT 5.0; rv:14.0) Gecko/20100101 Firefox/14.0.8 and phone IMEI: 64-818844-223828-4,,
2,FN,PHONE_NUMBER,O,223828,Patient Demarcus Rau with a secondary address of Apt. 489 and Post Code 85119-2571. Their connection details: User Agent: Mozilla/5.0 (Windows NT 5.0; rv:14.0) Gecko/20100101 Firefox/14.0.8 and phone IMEI: 64-818844-223828-4,,
3,FN,PHONE_NUMBER,O,4,Patient Demarcus Rau with a secondary address of Apt. 489 and Post Code 85119-2571. Their connection details: User Agent: Mozilla/5.0 (Windows NT 5.0; rv:14.0) Gecko/20100101 Firefox/14.0.8 and phone IMEI: 64-818844-223828-4,,
4,FN,PHONE_NUMBER,O,94,Notify on 94-047934-593644-6 for physical examination of 36 years old marathon runner.,,
5,FN,PHONE_NUMBER,O,047934,Notify on 94-047934-593644-6 for physical examination of 36 years old marathon runner.,,
6,FN,PHONE_NUMBER,O,593644,Notify on 94-047934-593644-6 for physical examination of 36 years old marathon runner.,,
7,FN,PHONE_NUMBER,O,6,Notify on 94-047934-593644-6 for physical examination of 36 years old marathon runner.,,
8,FN,PHONE_NUMBER,O,+922,"Hi there Bianka, would like to discuss the PR activities over a call. Can you please share a convenient date and time? You can reply me at Hugh.OHara@gmail.com or call me on +922-695.536-5774.",,
9,FN,PHONE_NUMBER,O,695.536,"Hi there Bianka, would like to discuss the PR activities over a call. Can you please share a convenient date and time? You can reply me at Hugh.OHara@gmail.com or call me on +922-695.536-5774.",,
10,FN,PHONE_NUMBER,O,5774,"Hi there Bianka, would like to discuss the PR activities over a call. Can you please share a convenient date and time? You can reply me at Hugh.OHara@gmail.com or call me on +922-695.536-5774.",,
11,FN,PHONE_NUMBER,O,48,"Regarding the Marketing, need to monitor 48-888747-917655-5, tracking and reporting on any vulnerabilities found at the 157.1.128.188.",,
12,FN,PHONE_NUMBER,O,888747,"Regarding the Marketing, need to monitor 48-888747-917655-5, tracking and reporting on any vulnerabilities found at the 157.1.128.188.",,
13,FN,PHONE_NUMBER,O,917655,"Regarding the Marketing, need to monitor 48-888747-917655-5, tracking and reporting on any vulnerabilities found at the 157.1.128.188.",,
14,FN,PHONE_NUMBER,O,5,"Regarding the Marketing, need to monitor 48-888747-917655-5, tracking and reporting on any vulnerabilities found at the 157.1.128.188.",,
15,FN,PHONE_NUMBER,O,54,"Parents, to view your child's progress, you can log into our e-learning platform. Use Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7)  AppleWebKit/537.2.2 (KHTML, like Gecko) Chrome/26.0.874.0 Safari/537.2.2 to avoid compatibility issues. Queries? Contact us by the 54-164510-807920-1 listed on our official site.",,
16,FN,PHONE_NUMBER,O,164510,"Parents, to view your child's progress, you can log into our e-learning platform. Use Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7)  AppleWebKit/537.2.2 (KHTML, like Gecko) Chrome/26.0.874.0 Safari/537.2.2 to avoid compatibility issues. Queries? Contact us by the 54-164510-807920-1 listed on our official site.",,
17,FN,PHONE_NUMBER,O,807920,"Parents, to view your child's progress, you can log into our e-learning platform. Use Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7)  AppleWebKit/537.2.2 (KHTML, like Gecko) Chrome/26.0.874.0 Safari/537.2.2 to avoid compatibility issues. Queries? Contact us by the 54-164510-807920-1 listed on our official site.",,
