,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,US_SSN,O,75611599693,"Record your daily health progress on our portal via https://winged-method.com, login with your unique 75611599693 and 4117940219039298.",,
1,FN,US_SSN,O,75688434031,"Hi, I'm Coy from the campus student training team. We respect your privacy and we will not ask for 18407 or 75688434031 in any of our training programs.",,
2,FN,US_SSN,O,75699682686,"Remember, Dr. Emerson, in an emergency situation, each patient’s SSN (75699682686) is critical for their identification.",,
3,FN,US_SSN,O,756.7998.4128,"As Per the ongoing case, please ensure that you secure all legal documents properly; make sure to mask sensitive information such as 756.7998.4128 and 11-940841-583114-1. Also, consider 174.137.36.51 and d007:fa95:3ef7:a698:870d:54b8:cdb0:3120 details, which might be required for an in-depth analysis of the suspect's online behavior.",,
4,FN,US_SSN,O,756.4750.5613,Your Bank details will be needed. Please provide your FI8804006803008061 and BOLKYTVJXXX and confirm your personal 756.4750.5613. This is for payroll purposes.,,
5,FN,US_SSN,O,75690729788,Notice: I am Abbie 's nurse and I am required to update Cis woman's medication. We picked up from our database that 75690729788 lives in ZIP Code 86614. Please confirm if there are any dietary restrictions.,,
6,FN,US_SSN,O,75686136370,"As our anticipated Human Branding Coordinator Intern, note that the use of secure IP addresses 189.0.185.247 is mandatory at all times. This is to protect company information, and personal data such as your SSN 75686136370.",,
7,FN,US_SSN,O,756.2041.9266,Patient ID: 756.2041.9266. 6th February. Patient presented with various complaints related to respiratory discomfort. Changes in blood pressure and temp. All were tracked using technology with mac address: b8:d6:af:c1:f0:42,,
8,FN,US_SSN,O,756.9313.1600,"I am looking after a Male patient in ICU, 1 years old, with Eye color: Hazel eyes. SSN: 756.9313.1600. Can I get a second pair of eyes over this one?",,
9,FN,US_SSN,O,75669229323,"For our Male patient in the ICU who is 97 years old, SSN 75669229323, please carry out a thorough review, ASAP.",,
10,FN,US_SSN,O,756.8983.6592,"Take note of new patient's Polygender profile. 89 years old, SSN 756.8983.6592, Eye color: Hazel. Please keep it confidential.",,
11,FN,US_SSN,O,756.8267.7096,6. Retrieve electronic medical records with SSN 756.8267.7096 from server 222.184.229.73 and securely send them to Stephany.Blick94@hotmail.com.,,
12,FN,US_SSN,O,75632284149,"For our Male patient in the ICU who is 76, SSN 75632284149, can you double-check the latest readings?",,
13,FN,US_SSN,O,75662413449,We would like to discuss the details of your 75662413449 plan. We are available on +551-89 395 1408 for any discussions.,,
14,FN,US_SSN,O,756.6191.3646,We need an urgent consultation for the client with the social security number 756.6191.3646 regarding the compensation offer. Please make sure to include all medical costs and potential future costs considering their job as a Technician.,,
15,FN,US_SSN,O,756.6771.5486,"For the field trip, MAC address db:c5:40:e8:cb:23 and IP: 218.42.50.150 will be used. Remember to not share your January 3, 1922 and SSN: 756.6771.5486. Also, Northwest apply sunscreen as we're going to the beach! Enjoy the day!",,
16,FN,US_SSN,O,SSN:756.4374.9434,"Could you update patient information? Middle name: Hayden, SSN:756.4374.9434, Sex: Male DOB:1936-04-20T12:30:45.425Z.",,
17,FN,US_SSN,O,756.2651.2563,"A reminder to all staff: our patient's personal information, such as 756.2651.2563 or 7/02, should always be handled securely and discretely in order to maintain our standards of healthcare privacy.",,
18,FN,US_SSN,O,756.2555.4555,Following up on the reports about the trial patient Brad Hoppe with SSN 756.2555.4555.,,
19,FN,US_SSN,O,75664462347,"Dear Direct Assurance Technician, A patient 75664462347 has lodged a complaint against the surgeon. We need immediate legal guidance to navigate this case.",,
20,FN,US_SSN,O,756.7771.1473,Performed surgical intervention on Dynamic Data Planner today. I have reserved patient's identity under 756.7771.1473.,,
21,FN,US_SSN,O,75650454773,"Hello Dr. Schiller, for your publication on Child Psychology to be published in the weekly newsletter, please fill out the attached authorization form and send it back along with the last 4 digits of your SSN 75650454773.",,
22,FN,US_SSN,O,75676642218,"Congratulations! Our institution has granted you access to premium healthcare services. Log in to your patient portal using your social security number 75676642218. For secure transactions, use your card number 0653947664725808 and set up a pin 1541.",,
23,FN,US_SSN,O,756.2333.2706,A thorough contract review has been requested for clients operating under 756.2333.2706 and AZ24OURJ33340082120150500746. Can you handle it?,,
24,FN,US_SSN,O,75623518016,"Helicopter's GPS coordinates [51.7705,-87.2366] request nearest ICU location. Emergency patient 75623518016 on board.",,
25,FN,US_SSN,O,756.2884.1059,"Male patient's privacy was violated when her Omnigender personal information, including 756.2884.1059 and 2002-03-16T22:11:27.741Z were disclosed without her consent.",,
26,FN,US_SSN,O,756.9104.9996,"We need a detailed research on Pike County. Kenneth.Medhurst97, your task is to investigate consumer behavior in this region. Don't disclose any sensitive information like 756.9104.9996 or Mozilla/5.0 (Windows; U; Windows NT 6.3)AppleWebKit/533.0.2 (KHTML, like Gecko) Version/5.1.4 Safari/533.0.2.",,
27,FN,US_SSN,O,756.8060.1250,"When accessing the electronic health records (95-312049-067585-0, 08107.583911, 756.8060.1250), each Principal Identity Liaison should uphold the ethical confidentiality guidelines. Let's discuss this with the team on 8/67.",,
28,FN,US_SSN,O,75691859933,"For security reasons, we would need you to verify personal details like 21/02/1955 and 75691859933 for the billing of your child's tutoring.",,
29,FN,US_SSN,O,75611272502,"The alimony due for Keon Pfeffer (Social Security: 75611272502) is Rial Omani5,351.11. Due date: 12th September. Urgent attention needed.",,
30,FN,US_SSN,O,756.4798.6906,"I wanted to remind you of 756.4798.6906's upcoming appointment. Being of 95 years, it would be best to prepare the room in advance and make sure all necessities are at hand.",,
31,FN,US_SSN,O,75610862231,Notice of a potential lawsuit: Male patient with SSN: 75610862231 has raised a malpractice claim. Required your advice on how to handle this case.,,
32,FN,US_SSN,O,756.6017.3293,"Mrs. Brooklyn, could you please provide us with the SSN 756.6017.3293 associated with your Personal Loan Account? This is mandatory as per our updated banking laws.",,
33,FN,US_SSN,O,756.4954.3592,"Part of today's training for all new Technician staff is understanding the need for maintaining the confidentiality of sensitive patient data like December 31, 1924 and 756.4954.3592, in line with medical ethics.",,
34,FN,US_SSN,O,756.6329.9296,Could you review our company's policies related to storing and handling of customer's SSN (756.6329.9296)? Please provide your feedback to Jessy.Huels12@hotmail.com.,,
35,FN,US_SSN,O,75680579335,Requesting you to organise the expenses of patient 75680579335. Please make the payment from 3mFo5Jj82c8RjAG8TGFjwvhSFRDU6DNkF1K9F.,,
36,FN,US_SSN,O,756.9714.9142,"Dear Mathew, with respect to your inquiry about private health insurance, we would need your date of birth (1971-05-19T02:30:00.966Z) and SSN (756.9714.9142) as part of the verification process.",,
37,FN,US_SSN,O,756.6570.2576,"We've scheduled a visit for our patient Graciela.Bednar57 at Apt. 122, 11951. She reported loss of mobility lately. Her age is 77 years old and her SSN is 756.6570.2576.",,
38,FN,US_SSN,O,75668995927,Request more information about patient 75668995927. Please note that the request comes from 2dcb:ae5c:47c8:b632:b53e:8546:9807:0dbb.,,
39,FN,US_SSN,O,756.7036.7356,"Monthly £ fee for Geriatric Medicine consultation for Patient 756.7036.7356 (DOB: 1911-04-21T00:40:11.328Z)Male, collected via 2920245538443917.",,
40,FN,US_SSN,O,48,"$761,025.65 has been paid to Rosella's (SSN_375-48-2214) Champlin - Weber account in regard to her medical malpractice compensation. Legal and financial teams are currently investigating the incident.",,
41,FN,US_SSN,O,2214,"$761,025.65 has been paid to Rosella's (SSN_375-48-2214) Champlin - Weber account in regard to her medical malpractice compensation. Legal and financial teams are currently investigating the incident.",,
42,FN,US_SSN,O,756.1527.1806,"Mrs. Fernando, please review patient history for the 756.1527.1806 record. They seem to have made significant lifestyle changes.",,
43,FN,US_SSN,O,75622983996,I am conducting a case study that involves observing the Grant County local schools' teaching methodology. I request not to include sensitive information such as 75622983996 and 79557612.,,
44,FN,US_SSN,O,75696824447,"Thank you for time, Miss. As part of our business continuity plan, please update your SSN 75696824447 in our secure portal. If you have trouble logging in, call 0513-29004705.",,
45,FN,US_SSN,O,756.2135.5000,Our robot Giovanna_Renner12 at the academic competition will be 'looking' in the Northeast direction using sensors. Please register noticing 756.2135.5000 as team ID.,,
46,FN,US_SSN,O,75645902646,"The surgical application for Garret needs her confirmation at her convenience. It's urgent, buzz me on my 75645902646.",,
47,FN,US_SSN,O,75688850011,Hospital vehicle SX99TUB is headed Northeast for picking up a patient having social security number 75688850011.,,
48,FN,US_SSN,O,756.3207.9650,"Hi Sasha, I received your email regarding our mental health services. Can you provide your 13th April and 756.3207.9650 for verification purposes?",,
49,FN,US_SSN,O,75693053994,"Dear Engineer, the patient with SSN 75693053994 and IP 5e4e:fa08:aee5:f138:54c5:facf:fd1d:2e2c has unusual blood pressure readings. Please check on her condition and update.",,
50,FN,US_SSN,O,756.6903.5618,"Could you check patient Cole's health, age 82 years, SSN 756.6903.5618. Cisgender woman mentioned something about a recent illness.",,
51,FN,US_SSN,O,65,This is a kind reminder for your appointment on 11/03/1920. Please provide your SSN132-65-3444 for identification.,,
52,FN,US_SSN,O,3444,This is a kind reminder for your appointment on 11/03/1920. Please provide your SSN132-65-3444 for identification.,,
53,FN,US_SSN,O,756.1186.8114,"The patients data from 30621, previously under confidential protection with SSN 756.1186.8114, can now be released for the study.",,
54,FN,US_SSN,O,756.6298.7605,"For student 756.6298.7605, please attend a mandatory meeting regarding your exam and update your bank verification code to FCFVNO1D. Internet connection for the online meeting: IP - 77.166.23.71.",,
55,FN,US_SSN,O,756.5998.7411,Access to patient Camryn's health records including sensitive details such as 20/07/1946 & 756.5998.7411 is restricted to only necessary medical personnel.,,
