,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,AGE,O,31,"I'm Naomi Ryan, originally from ΕΓΚΩΜΗ, and i'm 31 y/o.",,
1,FN,AGE,O,60,My brother just turned 60,,
2,FN,AGE,O,47,I just turned 47,,
3,FN,AGE,O,79,My brother just turned 79,,
4,FN,AGE,O,26,"I'm Jaroslava P. Sedláčková, originally from Marindia, and i'm 26 y/o.",,
5,FN,AGE,O,47,My brother just turned 47,,
6,FN,AGE,O,32,My brother just turned 32,,
7,FN,AGE,O,45,my father retired at the age of 45,,
8,FN,AGE,O,35,My brother just turned 35,,
9,FN,AGE,O,58,"I'm Abelardo Trevisano, originally from PORT O' WARREN, and i'm 58 y/o.",,
10,FN,AGE,O,64,I just turned 64,,
11,FN,AGE,O,41,"I'm Quarto Angelo, originally from Križe, and i'm 41 y/o.",,
12,FN,AGE,O,54,I just turned 54,,
13,FN,AGE,O,60,My brother just turned 60,,
14,FN,AGE,O,55,I just turned 55,,
15,FN,AGE,O,42,I just turned 42,,
16,FN,AGE,O,23,"I'm Maciej Borkowski, originally from ΚΑΤΩ ΠΟΛΕΜΙ∆ΙΑ, and i'm 23 y/o.",,
17,FN,AGE,O,53,My brother just turned 53,,
18,FN,AGE,O,64,"I'm Bojka Žilih, originally from Dolores, and i'm 64 y/o.",,
19,FN,AGE,O,82,"I'm Katie E Miles, originally from Mavčiče, and i'm 82 y/o.",,
20,FN,AGE,O,54,"I'm Annemette Iversen, originally from Eckenroth, and i'm 54 y/o.",,
