,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,LOCATION,O,6750,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
1,FN,LOCATION,O,Koskikatu,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
2,FN,LOCATION,O,25,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
3,FN,LOCATION,O,864,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
4,FN,LOCATION,O,Artilleros,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
5,FN,LOCATION,O,CO,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
6,FN,LOCATION,O,Uruguay,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
7,FN,LOCATION,O,64677,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
8,FN,LOCATION,O,28245,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
9,FN,LOCATION,O,Puruntie,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
10,FN,LOCATION,O,82,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
11,FN,LOCATION,O,595,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
12,FN,LOCATION,O,LAPPEENRANTA,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
13,FN,LOCATION,O,SK,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
14,FN,LOCATION,O,20789,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
15,FN,LOCATION,O,Allika,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
16,FN,LOCATION,O,46,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
17,FN,LOCATION,O,501,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
18,FN,LOCATION,O,Riisa,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
19,FN,LOCATION,O,62488,"William Hughes

20789 Allika 46
 Suite 501
 Riisa

 Estonia 62488",,
20,FN,LOCATION,O,86036,"Tomomi Nishiyama lives at 86036 Rua do Arenque 1634, Goiânia",,
21,FN,LOCATION,O,Rua,"Tomomi Nishiyama lives at 86036 Rua do Arenque 1634, Goiânia",,
22,FN,LOCATION,O,Arenque,"Tomomi Nishiyama lives at 86036 Rua do Arenque 1634, Goiânia",,
23,FN,LOCATION,O,1634,"Tomomi Nishiyama lives at 86036 Rua do Arenque 1634, Goiânia",,
24,FN,LOCATION,O,Růžena,The Propublica office is at Růžena and Király u. 15.,,
25,FN,LOCATION,O,PSC,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
26,FN,LOCATION,O,0413,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
27,FN,LOCATION,O,8144,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
28,FN,LOCATION,O,APO,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
29,FN,LOCATION,O,AA,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
30,FN,LOCATION,O,42323,"The Avalara office is at PSC 0413, Box 8144
APO AA 42323",,
