,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,PERSON,"Answer:""Tube","Krisztián Szöllösy listed his top 20 songs for Entertainment Weekly and had the balls to list this song at #15. (What did he put at #1 you ask? Answer:""Tube Snake Boogie"" by Szabina J Gelencsér ג€“ go figure)",,
1,FP,O,PERSON,"Answer:""Tube","James Talbot listed his top 20 songs for Entertainment Weekly and had the balls to list this song at #15. (What did he put at #1 you ask? Answer:""Tube Snake Boogie"" by Natalie Åberg ג€“ go figure)",,
2,FP,O,PERSON,Guilty,"For my take on Mrs. Labrie, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
3,FP,O,PERSON,Pleasures,"For my take on Mrs. Labrie, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
4,FP,O,PERSON,Guilty,"For my take on Mrs. Lennox, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
5,FP,O,PERSON,Pleasures,"For my take on Mrs. Lennox, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
6,FP,O,PERSON,Devil,"My religion does not allow speaking to bots, they are evil and hacked by the Devil",,
7,FP,O,PERSON,Guilty,"For my take on Mrs. Baker, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
8,FP,O,PERSON,Pleasures,"For my take on Mrs. Baker, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
9,FP,O,PERSON,ex,"This song by ex-Zombie Lundberg is a perfect example of why you shouldn't concentrate on the order of this list. An argument could be made that this should be at number one, and I wouldn't argue with it.",,
10,FP,O,PERSON,Zombie,"This song by ex-Zombie Lundberg is a perfect example of why you shouldn't concentrate on the order of this list. An argument could be made that this should be at number one, and I wouldn't argue with it.",,
11,FP,O,PERSON,Guilty,"For my take on Dr. Wells, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
12,FP,O,PERSON,Pleasures,"For my take on Dr. Wells, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
13,FP,O,PERSON,Guilty,"For my take on Mrs. Poissonnier, see Guilty Pleasures: 5 Musicians Of The 70s You're Supposed To Hate (But Secretly Love)",,
