,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,PHONE_NUMBER,O,60,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
1,FN,PHONE_NUMBER,O,56,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
2,FN,PHONE_NUMBER,O,85,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
3,FN,PHONE_NUMBER,O,91,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
4,FN,PHONE_NUMBER,O,37,"Gregory Kudryashov

233 Erzsébet tér 19.
 Suite 282
 Domoszló
 Hungary 34796
(37) 788-063-Office\,07700 063 966-Fax",,
5,FN,PHONE_NUMBER,O,788,"Gregory Kudryashov

233 Erzsébet tér 19.
 Suite 282
 Domoszló
 Hungary 34796
(37) 788-063-Office\,07700 063 966-Fax",,
6,FN,PHONE_NUMBER,O,063,"Gregory Kudryashov

233 Erzsébet tér 19.
 Suite 282
 Domoszló
 Hungary 34796
(37) 788-063-Office\,07700 063 966-Fax",,
7,FN,PHONE_NUMBER,O,0494,Please have the manager call me at 0494 92 82 32 I'd like to join accounts with ms. Marcela,,
8,FN,PHONE_NUMBER,O,92,Please have the manager call me at 0494 92 82 32 I'd like to join accounts with ms. Marcela,,
9,FN,PHONE_NUMBER,O,82,Please have the manager call me at 0494 92 82 32 I'd like to join accounts with ms. Marcela,,
