,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,TITLE,O,Dr.,My name appears incorrectly on credit card statement could you please correct it to Dr. Cettina Fanucci?,,
1,FN,TITLE,O,Dr.,My name appears incorrectly on credit card statement could you please correct it to Dr. Berta Szöllössy?,,
2,FN,TITLE,O,computer,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
3,FN,TITLE,O,systems,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
4,FN,TITLE,O,administrator,"Janka M. Szász

Network and computer systems administrator

Personal Info:
Phone:
60-56-85-91

E-mail:
SzaszJanka@cuvox.de

Website:
https://www.UEarly.se/

Address:
Brucker Bundesstrasse 31 Zezig Streets
 Suite 245
 FÜRLING
 Austria 25173.",,
5,FN,TITLE,O,Packager,"Marie Langrová, the Packager, said: ""I'm glad to hear that this has been withdrawn ג€“ quite why they thought this would go down well is beyond me.""",,
6,FN,TITLE,O,Dr.,"Hello, this is Dr. Kyle Kuefer. Who are you?",,
7,FN,TITLE,O,Ms.,Ms. Jones flew to Bessastaðahreppur on Saturday morning.,,
8,FN,TITLE,O,Ms.,Ms. Margarot flew to Loeches on Saturday morning.,,
9,FN,TITLE,O,Technical,"Hijacinta Godina, the Technical writer, said: ""I'm glad to hear that this has been withdrawn ג€“ quite why they thought this would go down well is beyond me.""",,
10,FN,TITLE,O,writer,"Hijacinta Godina, the Technical writer, said: ""I'm glad to hear that this has been withdrawn ג€“ quite why they thought this would go down well is beyond me.""",,
11,FN,TITLE,O,Staff,"Julieta S Almeida

Staff development specialist

Personal Info:
Phone:
467 3395

E-mail:
JulietaSouzaAlmeida@cuvox.de

Website:
https://www.InvestmentInstructor.be/

Address:
230 107 Igias Street Suite 503 Armenomonastiro Cyprus.",,
12,FN,TITLE,O,development,"Julieta S Almeida

Staff development specialist

Personal Info:
Phone:
467 3395

E-mail:
JulietaSouzaAlmeida@cuvox.de

Website:
https://www.InvestmentInstructor.be/

Address:
230 107 Igias Street Suite 503 Armenomonastiro Cyprus.",,
13,FN,TITLE,O,specialist,"Julieta S Almeida

Staff development specialist

Personal Info:
Phone:
467 3395

E-mail:
JulietaSouzaAlmeida@cuvox.de

Website:
https://www.InvestmentInstructor.be/

Address:
230 107 Igias Street Suite 503 Armenomonastiro Cyprus.",,
14,FN,TITLE,O,Rolling,"I used to work for Usaa Group as Rolling machine operator, but quit a few months ago. Now I'm unemployed.",,
15,FN,TITLE,O,machine,"I used to work for Usaa Group as Rolling machine operator, but quit a few months ago. Now I'm unemployed.",,
