,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,ZIP_CODE,O,53650,"Billing address: Sara Schwarz
    28245 Puruntie 82 Apt. 595
   LAPPEENRANTA
    SK
    53650",,
1,FN,ZIP_CODE,O,3520,ZIP: 3520,,
2,FN,ZIP_CODE,O,7188,"Billing address: Sophie Lang
    3482 Via Franscini 71 Suite 838
   Tujetsch
    nan
    7188",,
3,FN,ZIP_CODE,O,8592,ZIP: 8592,,
4,FN,ZIP_CODE,O,9100,"Mrs. Barbara Yudina Apt. 675 62314 Mellemvej 32
Aalborg NO 9100",,
5,FN,ZIP_CODE,O,6091,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Factset in Bjert 6091 in its mission to become a market-leading solution.,,
6,FN,ZIP_CODE,O,48750,ZIP: 48750,,
7,FN,ZIP_CODE,O,394,ZIP: 394 13,,
8,FN,ZIP_CODE,O,13,ZIP: 394 13,,
9,FN,ZIP_CODE,O,35350,my zip code is 35350,,
10,FN,ZIP_CODE,O,3610,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support MysticWeb in Quinta de São Tiago 3610-114 in its mission to become a market-leading solution.,,
11,FN,ZIP_CODE,O,114,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support MysticWeb in Quinta de São Tiago 3610-114 in its mission to become a market-leading solution.,,
12,FN,ZIP_CODE,O,880,My zip code is 880,,
13,FN,ZIP_CODE,O,1421,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Nautilytics in København K 1421 in its mission to become a market-leading solution.,,
14,FN,ZIP_CODE,O,53,"Billing address: Ana Dias
    31401 ul. Słowicza 10 Apt. 360
   Wrocław
    nan
    53-320",,
15,FN,ZIP_CODE,O,320,"Billing address: Ana Dias
    31401 ul. Słowicza 10 Apt. 360
   Wrocław
    nan
    53-320",,
16,FN,ZIP_CODE,O,700,"Billing address: Erlendur G. Hafliðason
    764 Fagradalsbraut 71 Apt. 762
   Egilsstaðir
    nan
    700",,
17,FN,ZIP_CODE,O,1098,ZIP: 1098,,
18,FN,ZIP_CODE,O,7412,ZIP: 7412 SL,,
19,FN,ZIP_CODE,O,SL,ZIP: 7412 SL,,
20,FN,ZIP_CODE,O,3962,ZIP: 3962,,
21,FN,ZIP_CODE,O,4943,ZIP: 4943,,
22,FN,ZIP_CODE,O,2371,My zip code is 2371,,
23,FN,ZIP_CODE,O,610,my zip code is 610,,
24,FN,ZIP_CODE,O,B0J,"Billing address: Tintin Forsberg
    03262 2437 Main St Suite 442
   Mill Village
    NS
    B0J 2H0",,
25,FN,ZIP_CODE,O,2H0,"Billing address: Tintin Forsberg
    03262 2437 Main St Suite 442
   Mill Village
    NS
    B0J 2H0",,
26,FN,ZIP_CODE,O,76400,My zip code is 76400,,
27,FN,ZIP_CODE,O,75534,ZIP: 75534-030,,
28,FN,ZIP_CODE,O,030,ZIP: 75534-030,,
29,FN,ZIP_CODE,O,340,"Mrs. Diana Usamov Suite 913 0547 Bygget 91
ANNERSTAD nan 340 12",,
30,FN,ZIP_CODE,O,12,"Mrs. Diana Usamov Suite 913 0547 Bygget 91
ANNERSTAD nan 340 12",,
31,FN,ZIP_CODE,O,2200,My zip code is 2200,,
32,FN,ZIP_CODE,O,4844,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Slashdb in ARENDAL 4844 in its mission to become a market-leading solution.,,
33,FN,ZIP_CODE,O,3910,My zip code is 3910,,
34,FN,ZIP_CODE,O,840,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Google Public Data Explorer in ÖVERTURINGEN 840 24 in its mission to become a market-leading solution.,,
35,FN,ZIP_CODE,O,24,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Google Public Data Explorer in ÖVERTURINGEN 840 24 in its mission to become a market-leading solution.,,
36,FN,ZIP_CODE,O,90010,My zip code is 90010-170,,
37,FN,ZIP_CODE,O,170,My zip code is 90010-170,,
38,FN,ZIP_CODE,O,93318,"Billing address: Noelle Martinsson
    1593 Pagari 18 Suite 932
   Põlluküla
    SA
    93318",,
39,FN,ZIP_CODE,O,6280,ZIP: 6280,,
40,FN,ZIP_CODE,O,1426,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Zonability in Tokoza Ext 1426 in its mission to become a market-leading solution.,,
41,FN,ZIP_CODE,O,43015,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Connotate in Costamezzana 43015 in its mission to become a market-leading solution.,,
